meter_id,five_digit_code,consumption_kW,date,time
1108,36601,1.602,1,1
1108,36602,1.602,1,2
1108,36603,1.96,1,3
1108,36604,1.96,1,4
1108,36605,2.188,1,5
1108,36606,2.188,1,6
1108,36607,1.76,1,7
1108,36608,1.76,1,8
1108,36609,2.108,1,9
1108,36610,2.108,1,10
1108,36611,1.666,1,11
1108,36612,1.666,1,12
1108,36613,1.472,1,13
1108,36614,1.472,1,14
1108,36615,1.374,1,15
1108,36616,1.374,1,16
1108,36617,1.206,1,17
1108,36618,1.206,1,18
1108,36619,1.178,1,19
1108,36620,1.178,1,20
1108,36621,0.908,1,21
1108,36622,0.908,1,22
1108,36623,0.656,1,23
1108,36624,0.656,1,24
1108,36625,0.544,1,25
1108,36626,0.544,1,26
1108,36627,0.806,1,27
1108,36628,0.806,1,28
1108,36629,1.14,1,29
1108,36630,1.14,1,30
1108,36631,1.216,1,31
1108,36632,1.216,1,32
1108,36633,1.014,1,33
1108,36634,1.014,1,34
1108,36635,0.954,1,35
1108,36636,0.954,1,36
1108,36637,0.822,1,37
1108,36638,0.822,1,38
1108,36639,1.782,1,39
1108,36640,1.782,1,40
1108,36641,0.308,1,41
1108,36642,0.308,1,42
1108,36643,0.376,1,43
1108,36644,0.376,1,44
1108,36645,1.292,1,45
1108,36646,1.292,1,46
1108,36647,4.616,1,47
1108,36648,4.616,1,48
1108,36649,1.066,1,49
1108,36650,1.066,1,50
1108,36651,1.172,1,51
1108,36652,1.172,1,52
1108,36653,0.63,1,53
1108,36654,0.63,1,54
1108,36655,3.44,1,55
1108,36656,3.44,1,56
1108,36657,3.884,1,57
1108,36658,3.884,1,58
1108,36659,2.884,1,59
1108,36660,2.884,1,60
1108,36661,2.834,1,61
1108,36662,2.834,1,62
1108,36663,0.882,1,63
1108,36664,0.882,1,64
1108,36665,3.15,1,65
1108,36666,3.15,1,66
1108,36667,2.986,1,67
1108,36668,2.986,1,68
1108,36669,7.09,1,69
1108,36670,7.09,1,70
1108,36671,4.232,1,71
1108,36672,4.232,1,72
1108,36673,3.348,1,73
1108,36674,3.348,1,74
1108,36675,1.762,1,75
1108,36676,1.762,1,76
1108,36677,1.516,1,77
1108,36678,1.516,1,78
1108,36679,1.25,1,79
1108,36680,1.25,1,80
1108,36681,1.516,1,81
1108,36682,1.516,1,82
1108,36683,4.03,1,83
1108,36684,4.03,1,84
1108,36685,1.598,1,85
1108,36686,1.598,1,86
1108,36687,1.222,1,87
1108,36688,1.222,1,88
1108,36689,1.348,1,89
1108,36690,1.348,1,90
1108,36691,0.88,1,91
1108,36692,0.88,1,92
1108,36693,0.556,1,93
1108,36694,0.556,1,94
1108,36695,0.364,1,95
1108,36696,0.364,1,96
1108,36701,0.542,2,1
1108,36702,0.542,2,2
1108,36703,0.398,2,3
1108,36704,0.398,2,4
1108,36705,0.454,2,5
1108,36706,0.454,2,6
1108,36707,0.364,2,7
1108,36708,0.364,2,8
1108,36709,0.516,2,9
1108,36710,0.516,2,10
1108,36711,0.424,2,11
1108,36712,0.424,2,12
1108,36713,0.448,2,13
1108,36714,0.448,2,14
1108,36715,0.39,2,15
1108,36716,0.39,2,16
1108,36717,0.492,2,17
1108,36718,0.492,2,18
1108,36719,0.682,2,19
1108,36720,0.682,2,20
1108,36721,0.428,2,21
1108,36722,0.428,2,22
1108,36723,0.4,2,23
1108,36724,0.4,2,24
1108,36725,0.452,2,25
1108,36726,0.452,2,26
1108,36727,0.464,2,27
1108,36728,0.464,2,28
1108,36729,0.394,2,29
1108,36730,0.394,2,30
1108,36731,0.416,2,31
1108,36732,0.416,2,32
1108,36733,0.434,2,33
1108,36734,0.434,2,34
1108,36735,0.314,2,35
1108,36736,0.314,2,36
1108,36737,0.2,2,37
1108,36738,0.2,2,38
1108,36739,0.862,2,39
1108,36740,0.862,2,40
1108,36741,0.274,2,41
1108,36742,0.274,2,42
1108,36743,0.548,2,43
1108,36744,0.548,2,44
1108,36745,0.488,2,45
1108,36746,0.488,2,46
1108,36747,0.594,2,47
1108,36748,0.594,2,48
1108,36749,4.198,2,49
1108,36750,4.198,2,50
1108,36751,3.112,2,51
1108,36752,3.112,2,52
1108,36753,0.82,2,53
1108,36754,0.82,2,54
1108,36755,0.658,2,55
1108,36756,0.658,2,56
1108,36757,0.622,2,57
1108,36758,0.622,2,58
1108,36759,5.244,2,59
1108,36760,5.244,2,60
1108,36761,0.256,2,61
1108,36762,0.256,2,62
1108,36763,0.31,2,63
1108,36764,0.31,2,64
1108,36765,3.486,2,65
1108,36766,3.486,2,66
1108,36767,3.128,2,67
1108,36768,3.128,2,68
1108,36769,1.5,2,69
1108,36770,1.5,2,70
1108,36771,1.248,2,71
1108,36772,1.248,2,72
1108,36773,0.77,2,73
1108,36774,0.77,2,74
1108,36775,0.784,2,75
1108,36776,0.784,2,76
1108,36777,2.068,2,77
1108,36778,2.068,2,78
