date,time,p_w
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.0
1,32,0.0
1,33,1467.2
1,34,1467.2
1,35,1467.2
1,36,1467.2
1,37,1120.3
1,38,1120.3
1,39,1120.3
1,40,1120.3
1,41,894.7
1,42,894.7
1,43,894.7
1,44,894.7
1,45,1328.1
1,46,1328.1
1,47,1328.1
1,48,1328.1
1,49,848.5
1,50,848.5
1,51,848.5
1,52,848.5
1,53,655.8
1,54,655.8
1,55,655.8
1,56,655.8
1,57,394.6
1,58,394.6
1,59,394.6
1,60,394.6
1,61,231.9
1,62,231.9
1,63,231.9
1,64,231.9
1,65,0.0
1,66,0.0
1,67,0.0
1,68,0.0
1,69,0.0
1,70,0.0
1,71,0.0
1,72,0.0
1,73,0.0
1,74,0.0
1,75,0.0
1,76,0.0
1,77,0.0
1,78,0.0
1,79,0.0
1,80,0.0
1,81,0.0
1,82,0.0
1,83,0.0
1,84,0.0
1,85,0.0
1,86,0.0
1,87,0.0
1,88,0.0
1,89,0.0
1,90,0.0
1,91,0.0
1,92,0.0
1,93,0.0
1,94,0.0
1,95,0.0
1,96,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
2,27,0.0
2,28,0.0
2,29,0.0
2,30,0.0
2,31,0.0
2,32,0.0
2,33,1355.1
2,34,1355.1
2,35,1355.1
2,36,1355.1
2,37,2673.1
2,38,2673.1
2,39,2673.1
2,40,2673.1
2,41,2230.0
2,42,2230.0
2,43,2230.0
2,44,2230.0
2,45,693.8
2,46,693.8
2,47,693.8
2,48,693.8
2,49,6374.0
2,50,6374.0
2,51,6374.0
2,52,6374.0
2,53,2850.9
2,54,2850.9
2,55,2850.9
2,56,2850.9
2,57,3501.3
2,58,3501.3
2,59,3501.3
2,60,3501.3
2,61,1174.8
2,62,1174.8
2,63,1174.8
2,64,1174.8
2,65,0.0
2,66,0.0
2,67,0.0
2,68,0.0
2,69,0.0
2,70,0.0
2,71,0.0
2,72,0.0
2,73,0.0
2,74,0.0
2,75,0.0
2,76,0.0
2,77,0.0
2,78,0.0
2,79,0.0
2,80,0.0
2,81,0.0
2,82,0.0
2,83,0.0
2,84,0.0
2,85,0.0
2,86,0.0
2,87,0.0
2,88,0.0
2,89,0.0
2,90,0.0
2,91,0.0
2,92,0.0
2,93,0.0
2,94,0.0
2,95,0.0
2,96,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,0.0
3,26,0.0
3,27,0.0
3,28,0.0
3,29,0.0
3,30,0.0
3,31,0.0
3,32,0.0
3,33,2888.4
3,34,2888.4
3,35,2888.4
3,36,2888.4
3,37,3730.0
3,38,3730.0
3,39,3730.0
3,40,3730.0
3,41,5866.7
3,42,5866.7
3,43,5866.7
3,44,5866.7
3,45,6394.5
3,46,6394.5
3,47,6394.5
3,48,6394.5
3,49,6608.7
3,50,6608.7
3,51,6608.7
3,52,6608.7
3,53,5569.4
3,54,5569.4
3,55,5569.4
3,56,5569.4
3,57,4089.1
3,58,4089.1
3,59,4089.1
3,60,4089.1
3,61,1929.7
3,62,1929.7
3,63,1929.7
3,64,1929.7
3,65,0.0
3,66,0.0
3,67,0.0
3,68,0.0
3,69,0.0
3,70,0.0
3,71,0.0
3,72,0.0
3,73,0.0
3,74,0.0
3,75,0.0
3,76,0.0
3,77,0.0
3,78,0.0
3,79,0.0
3,80,0.0
3,81,0.0
3,82,0.0
3,83,0.0
3,84,0.0
3,85,0.0
3,86,0.0
3,87,0.0
3,88,0.0
3,89,0.0
3,90,0.0
3,91,0.0
3,92,0.0
3,93,0.0
3,94,0.0
3,95,0.0
3,96,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,0.0
4,26,0.0
4,27,0.0
4,28,0.0
4,29,0.0
4,30,0.0
4,31,0.0
4,32,0.0
4,33,559.4
4,34,559.4
4,35,559.4
4,36,559.4
4,37,4745.7
4,38,4745.7
4,39,4745.7
4,40,4745.7
4,41,5945.9
4,42,5945.9
4,43,5945.9
4,44,5945.9
4,45,6413.2
4,46,6413.2
4,47,6413.2
4,48,6413.2
4,49,6554.7
4,50,6554.7
4,51,6554.7
4,52,6554.7
4,53,5708.1
4,54,5708.1
4,55,5708.1
4,56,5708.1
4,57,4177.3
4,58,4177.3
4,59,4177.3
4,60,4177.3
4,61,1777.7
4,62,1777.7
4,63,1777.7
4,64,1777.7
4,65,0.0
4,66,0.0
4,67,0.0
4,68,0.0
4,69,0.0
4,70,0.0
4,71,0.0
4,72,0.0
4,73,0.0
4,74,0.0
4,75,0.0
4,76,0.0
4,77,0.0
4,78,0.0
4,79,0.0
4,80,0.0
4,81,0.0
4,82,0.0
4,83,0.0
4,84,0.0
4,85,0.0
4,86,0.0
4,87,0.0
4,88,0.0
4,89,0.0
4,90,0.0
4,91,0.0
4,92,0.0
4,93,0.0
4,94,0.0
4,95,0.0
4,96,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
5,24,0.0
5,25,0.0
5,26,0.0
5,27,0.0
5,28,0.0
5,29,0.0
5,30,0.0
5,31,0.0
5,32,0.0
5,33,2848.3
5,34,2848.3
5,35,2848.3
5,36,2848.3
5,37,1627.3
5,38,1627.3
5,39,1627.3
5,40,1627.3
5,41,947.8
5,42,947.8
5,43,947.8
5,44,947.8
5,45,1463.6
5,46,1463.6
5,47,1463.6
5,48,1463.6
5,49,747.0
5,50,747.0
5,51,747.0
5,52,747.0
5,53,914.6
5,54,914.6
5,55,914.6
5,56,914.6
5,57,974.5
5,58,974.5
5,59,974.5
5,60,974.5
5,61,127.0
5,62,127.0
5,63,127.0
5,64,127.0
5,65,0.0
5,66,0.0
5,67,0.0
5,68,0.0
5,69,0.0
5,70,0.0
5,71,0.0
5,72,0.0
5,73,0.0
5,74,0.0
5,75,0.0
5,76,0.0
5,77,0.0
5,78,0.0
5,79,0.0
5,80,0.0
5,81,0.0
5,82,0.0
5,83,0.0
5,84,0.0
5,85,0.0
5,86,0.0
5,87,0.0
5,88,0.0
5,89,0.0
5,90,0.0
5,91,0.0
5,92,0.0
5,93,0.0
5,94,0.0
5,95,0.0
5,96,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
6,24,0.0
6,25,0.0
6,26,0.0
6,27,0.0
6,28,0.0
6,29,0.0
6,30,0.0
6,31,0.0
6,32,0.0
6,33,504.6
6,34,504.6
6,35,504.6
6,36,504.6
6,37,228.2
6,38,228.2
6,39,228.2
6,40,228.2
6,41,464.3
6,42,464.3
6,43,464.3
6,44,464.3
6,45,1008.3
6,46,1008.3
6,47,1008.3
6,48,1008.3
6,49,507.6
6,50,507.6
6,51,507.6
6,52,507.6
6,53,139.7
6,54,139.7
6,55,139.7
6,56,139.7
6,57,43.5
6,58,43.5
6,59,43.5
6,60,43.5
6,61,426.6
6,62,426.6
6,63,426.6
6,64,426.6
6,65,0.0
6,66,0.0
6,67,0.0
6,68,0.0
6,69,0.0
6,70,0.0
6,71,0.0
6,72,0.0
6,73,0.0
6,74,0.0
6,75,0.0
6,76,0.0
6,77,0.0
6,78,0.0
6,79,0.0
6,80,0.0
6,81,0.0
6,82,0.0
6,83,0.0
6,84,0.0
6,85,0.0
6,86,0.0
6,87,0.0
6,88,0.0
6,89,0.0
6,90,0.0
6,91,0.0
6,92,0.0
6,93,0.0
6,94,0.0
6,95,0.0
6,96,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.0
7,20,0.0
7,21,0.0
7,22,0.0
7,23,0.0
7,24,0.0
7,25,0.0
7,26,0.0
7,27,0.0
7,28,0.0
7,29,0.0
7,30,0.0
7,31,0.0
7,32,0.0
7,33,884.6
7,34,884.6
7,35,884.6
7,36,884.6
7,37,1562.9
7,38,1562.9
7,39,1562.9
7,40,1562.9
7,41,2481.9
7,42,2481.9
7,43,2481.9
7,44,2481.9
7,45,5118.2
7,46,5118.2
7,47,5118.2
7,48,5118.2
7,49,6119.5
7,50,6119.5
7,51,6119.5
7,52,6119.5
7,53,2276.0
7,54,2276.0
7,55,2276.0
7,56,2276.0
7,57,1235.4
7,58,1235.4
7,59,1235.4
7,60,1235.4
7,61,1136.3
7,62,1136.3
7,63,1136.3
7,64,1136.3
7,65,0.0
7,66,0.0
7,67,0.0
7,68,0.0
7,69,0.0
7,70,0.0
7,71,0.0
7,72,0.0
7,73,0.0
7,74,0.0
7,75,0.0
7,76,0.0
7,77,0.0
7,78,0.0
7,79,0.0
7,80,0.0
7,81,0.0
7,82,0.0
7,83,0.0
7,84,0.0
7,85,0.0
7,86,0.0
7,87,0.0
7,88,0.0
7,89,0.0
7,90,0.0
7,91,0.0
7,92,0.0
7,93,0.0
7,94,0.0
7,95,0.0
7,96,0.0
8,1,0.0
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.0
8,7,0.0
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
8,20,0.0
8,21,0.0
8,22,0.0
8,23,0.0
8,24,0.0
8,25,0.0
8,26,0.0
8,27,0.0
8,28,0.0
8,29,0.0
8,30,0.0
8,31,0.0
8,32,0.0
8,33,891.8
8,34,891.8
8,35,891.8
8,36,891.8
8,37,613.9
8,38,613.9
8,39,613.9
8,40,613.9
8,41,560.9
8,42,560.9
8,43,560.9
8,44,560.9
8,45,429.9
8,46,429.9
8,47,429.9
8,48,429.9
8,49,1066.8
8,50,1066.8
8,51,1066.8
8,52,1066.8
8,53,510.3
8,54,510.3
8,55,510.3
8,56,510.3
8,57,176.0
8,58,176.0
8,59,176.0
8,60,176.0
8,61,80.3
8,62,80.3
8,63,80.3
8,64,80.3
8,65,0.0
8,66,0.0
8,67,0.0
8,68,0.0
8,69,0.0
8,70,0.0
8,71,0.0
8,72,0.0
8,73,0.0
8,74,0.0
8,75,0.0
8,76,0.0
8,77,0.0
8,78,0.0
8,79,0.0
8,80,0.0
8,81,0.0
8,82,0.0
8,83,0.0
8,84,0.0
8,85,0.0
8,86,0.0
8,87,0.0
8,88,0.0
8,89,0.0
8,90,0.0
8,91,0.0
8,92,0.0
8,93,0.0
8,94,0.0
8,95,0.0
8,96,0.0
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.0
9,7,0.0
9,8,0.0
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
9,20,0.0
9,21,0.0
9,22,0.0
9,23,0.0
9,24,0.0
9,25,0.0
9,26,0.0
9,27,0.0
9,28,0.0
9,29,0.0
9,30,0.0
9,31,0.0
9,32,0.0
9,33,301.4
9,34,301.4
9,35,301.4
9,36,301.4
9,37,1350.3
9,38,1350.3
9,39,1350.3
9,40,1350.3
9,41,434.3
9,42,434.3
9,43,434.3
9,44,434.3
9,45,2630.8
9,46,2630.8
9,47,2630.8
9,48,2630.8
9,49,393.2
9,50,393.2
9,51,393.2
9,52,393.2
9,53,768.4
9,54,768.4
9,55,768.4
9,56,768.4
9,57,740.1
9,58,740.1
9,59,740.1
9,60,740.1
9,61,144.1
9,62,144.1
9,63,144.1
9,64,144.1
9,65,0.0
9,66,0.0
9,67,0.0
9,68,0.0
9,69,0.0
9,70,0.0
9,71,0.0
9,72,0.0
9,73,0.0
9,74,0.0
9,75,0.0
9,76,0.0
9,77,0.0
9,78,0.0
9,79,0.0
9,80,0.0
9,81,0.0
9,82,0.0
9,83,0.0
9,84,0.0
9,85,0.0
9,86,0.0
9,87,0.0
9,88,0.0
9,89,0.0
9,90,0.0
9,91,0.0
9,92,0.0
9,93,0.0
9,94,0.0
9,95,0.0
9,96,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.0
10,8,0.0
10,9,0.0
10,10,0.0
10,11,0.0
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
