bus,id,pv_size,profile_name,load_meter_id,load_code,load_yearly_avg_MWh,initial_generation_kW,integration_year
11,1,24,pv_24kWp.csv,1002,1,3.635515,0,1
24,2,24,pv_24kWp.csv,1067,1,7.194295,0,8
25,3,24,pv_24kWp.csv,1013,1,4.184011,0,7
37,4,24,pv_24kWp.csv,1082,1,7.299919,0,10
45,5,10,pv_10kWp.csv,1014,1,10.221799,0,2
50,6,24,pv_24kWp.csv,1109,1,19.069047,0,7
57,7,24,pv_24kWp.csv,1119,1,13.147813,0,8
60,8,24,pv_24kWp.csv,1039,1,13.149817,0,2
73,9,10,pv_10kWp.csv,1133,1,4.651629,0,8
77,10,10,pv_10kWp.csv,1139,1,14.78453,0,6
81,11,10,pv_10kWp.csv,1140,1,13.56364,0,9
95,12,10,pv_10kWp.csv,1147,1,10.547089,0,4
96,13,10,pv_10kWp.csv,1148,1,6.663882,0,5
97,14,24,pv_24kWp.csv,1062,1,6.171485,0,9
101,15,24,pv_24kWp.csv,1153,1,6.63731,0,6
102,16,24,pv_24kWp.csv,1155,1,14.700532,0,5
103,17,24,pv_24kWp.csv,1061,1,6.608823,0,4
106,18,10,pv_10kWp.csv,1156,1,10.31847,0,9
110,19,10,pv_10kWp.csv,1157,1,12.201312,0,6
114,20,10,pv_10kWp.csv,1168,1,13.22477,0,7
115,21,24,pv_24kWp.csv,1005,1,11.189934,0,10
116,22,24,pv_24kWp.csv,1036,1,8.517661,0,10
