date,time,charging_power_kW,meter_id
1,1,0,1073
1,2,0,1073
1,3,0,1073
1,4,0,1073
1,5,0,1073
1,6,0,1073
1,7,0,1073
1,8,0,1073
1,9,0,1073
1,10,0,1073
1,11,0,1073
1,12,0,1073
1,13,0,1073
1,14,0,1073
1,15,0,1073
1,16,0,1073
1,17,0,1073
1,18,0,1073
1,19,0,1073
1,20,0,1073
1,21,0,1073
1,22,0,1073
1,23,0,1073
1,24,0,1073
1,25,0,1073
1,26,0,1073
1,27,0,1073
1,28,0,1073
1,29,0,1073
1,30,0,1073
1,31,0,1073
1,32,0,1073
1,33,0,1073
1,34,0,1073
1,35,0,1073
1,36,0,1073
1,37,0,1073
1,38,0,1073
1,39,0,1073
1,40,0,1073
1,41,0,1073
1,42,0,1073
1,43,0,1073
1,44,0,1073
1,45,0,1073
1,46,0,1073
1,47,0,1073
1,48,0,1073
1,49,0,1073
1,50,0,1073
1,51,0,1073
1,52,0,1073
1,53,0,1073
1,54,0,1073
1,55,0,1073
1,56,0,1073
1,57,0,1073
1,58,0,1073
1,59,0,1073
1,60,0,1073
1,61,0,1073
1,62,0,1073
1,63,0,1073
1,64,0,1073
1,65,0,1073
1,66,0,1073
1,67,0,1073
1,68,0,1073
1,69,0,1073
1,70,0,1073
1,71,0,1073
1,72,0,1073
1,73,0,1073
1,74,0,1073
1,75,0,1073
1,76,0,1073
1,77,0,1073
1,78,22,1073
1,79,22,1073
1,80,22,1073
1,81,22,1073
1,82,22,1073
1,83,0,1073
1,84,0,1073
1,85,0,1073
1,86,0,1073
1,87,0,1073
1,88,0,1073
1,89,0,1073
1,90,0,1073
1,91,0,1073
1,92,0,1073
1,93,0,1073
1,94,0,1073
1,95,0,1073
1,96,0,1073
2,1,0,1073
2,2,0,1073
2,3,0,1073
2,4,0,1073
2,5,0,1073
2,6,0,1073
2,7,0,1073
2,8,0,1073
2,9,0,1073
2,10,0,1073
2,11,0,1073
2,12,0,1073
2,13,0,1073
2,14,0,1073
2,15,0,1073
2,16,0,1073
2,17,0,1073
2,18,0,1073
2,19,0,1073
2,20,0,1073
2,21,0,1073
2,22,0,1073
2,23,0,1073
2,24,0,1073
2,25,0,1073
2,26,0,1073
2,27,0,1073
2,28,0,1073
2,29,0,1073
2,30,0,1073
2,31,0,1073
2,32,0,1073
2,33,0,1073
2,34,0,1073
2,35,0,1073
2,36,0,1073
2,37,0,1073
2,38,0,1073
2,39,0,1073
2,40,0,1073
2,41,0,1073
2,42,0,1073
2,43,0,1073
2,44,0,1073
2,45,0,1073
2,46,0,1073
2,47,0,1073
2,48,0,1073
2,49,0,1073
2,50,0,1073
2,51,0,1073
2,52,0,1073
2,53,0,1073
2,54,0,1073
2,55,0,1073
2,56,0,1073
2,57,0,1073
2,58,0,1073
2,59,0,1073
2,60,0,1073
2,61,0,1073
2,62,0,1073
2,63,0,1073
2,64,0,1073
2,65,0,1073
2,66,0,1073
2,67,0,1073
2,68,0,1073
2,69,0,1073
2,70,0,1073
2,71,0,1073
2,72,0,1073
2,73,0,1073
2,74,0,1073
2,75,0,1073
2,76,0,1073
2,77,22,1073
2,78,22,1073
2,79,22,1073
2,80,22,1073
2,81,22,1073
2,82,22,1073
2,83,22,1073
2,84,22,1073
2,85,22,1073
2,86,22,1073
2,87,0,1073
2,88,0,1073
2,89,0,1073
2,90,0,1073
2,91,0,1073
2,92,0,1073
2,93,0,1073
2,94,0,1073
2,95,0,1073
2,96,0,1073
3,1,0,1073
3,2,0,1073
3,3,0,1073
3,4,0,1073
3,5,0,1073
3,6,0,1073
3,7,0,1073
3,8,0,1073
