bus,id,name,profile_name,initial_consumption_kW,max_ac_charging_kW,integration_year
7,1,EV1,ev_profile_41.csv,0,11,10
33,2,EV2,ev_profile_3.csv,0,11,7
39,3,EV3,ev_profile_2.csv,0,11,2
42,4,EV4,ev_profile_4.csv,0,11,1
47,5,EV5,ev_profile_6.csv,0,11,5
52,6,EV6,ev_profile_50.csv,0,22,3
54,7,EV7,ev_profile_35.csv,0,11,9
62,8,EV8,ev_profile_24.csv,0,22,11
66,9,EV9,ev_profile_46.csv,0,22,9
67,10,EV10,ev_profile_40.csv,0,22,2
75,11,EV11,ev_profile_25.csv,0,22,8
76,12,EV12,ev_profile_52.csv,0,22,10
77,13,EV13,ev_profile_34.csv,0,22,8
80,14,EV14,ev_profile_32.csv,0,11,4
83,15,EV15,ev_profile_5.csv,0,22,7
97,16,EV16,ev_profile_23.csv,0,11,6
112,17,EV17,ev_profile_27.csv,0,11,11
