meter_id,five_digit_code,consumption_kW,date,time
1165,36601,0.03,1,1
1165,36602,0.03,1,2
1165,36603,0.032,1,3
1165,36604,0.032,1,4
1165,36605,0.132,1,5
1165,36606,0.132,1,6
1165,36607,0.272,1,7
1165,36608,0.272,1,8
1165,36609,0.252,1,9
1165,36610,0.252,1,10
1165,36611,0.032,1,11
1165,36612,0.032,1,12
1165,36613,0.034,1,13
1165,36614,0.034,1,14
1165,36615,0.106,1,15
1165,36616,0.106,1,16
1165,36617,0.284,1,17
1165,36618,0.284,1,18
1165,36619,0.228,1,19
1165,36620,0.228,1,20
1165,36621,0.034,1,21
1165,36622,0.034,1,22
1165,36623,0.034,1,23
1165,36624,0.034,1,24
1165,36625,0.074,1,25
1165,36626,0.074,1,26
1165,36627,0.288,1,27
1165,36628,0.288,1,28
1165,36629,0.402,1,29
1165,36630,0.402,1,30
1165,36631,0.51,1,31
1165,36632,0.51,1,32
1165,36633,0.752,1,33
1165,36634,0.752,1,34
1165,36635,0.55,1,35
1165,36636,0.55,1,36
1165,36637,1.684,1,37
1165,36638,1.684,1,38
1165,36639,1.858,1,39
1165,36640,1.858,1,40
1165,36641,1.726,1,41
1165,36642,1.726,1,42
1165,36643,1.896,1,43
1165,36644,1.896,1,44
1165,36645,1.588,1,45
1165,36646,1.588,1,46
1165,36647,2.136,1,47
1165,36648,2.136,1,48
1165,36649,2.824,1,49
1165,36650,2.824,1,50
1165,36651,2.412,1,51
1165,36652,2.412,1,52
1165,36653,5.112,1,53
1165,36654,5.112,1,54
1165,36655,2.936,1,55
1165,36656,2.936,1,56
1165,36657,5.674,1,57
1165,36658,5.674,1,58
1165,36659,2.698,1,59
1165,36660,2.698,1,60
1165,36661,2.152,1,61
1165,36662,2.152,1,62
1165,36663,2.192,1,63
1165,36664,2.192,1,64
1165,36665,2.952,1,65
1165,36666,2.952,1,66
1165,36667,2.048,1,67
1165,36668,2.048,1,68
1165,36669,4.366,1,69
1165,36670,4.366,1,70
1165,36671,5.82,1,71
1165,36672,5.82,1,72
1165,36673,5.93,1,73
1165,36674,5.93,1,74
1165,36675,3.77,1,75
1165,36676,3.77,1,76
1165,36677,1.438,1,77
1165,36678,1.438,1,78
1165,36679,0.986,1,79
1165,36680,0.986,1,80
1165,36681,0.818,1,81
1165,36682,0.818,1,82
1165,36683,1.232,1,83
1165,36684,1.232,1,84
1165,36685,0.986,1,85
1165,36686,0.986,1,86
1165,36687,1.032,1,87
1165,36688,1.032,1,88
1165,36689,0.87,1,89
1165,36690,0.87,1,90
1165,36691,1.09,1,91
1165,36692,1.09,1,92
1165,36693,0.32,1,93
