bus,id,name,profile_name,kV,initial_consumption_kW,daily_avg_kWh,yearly_avg_MWh,meter_id,code
5,1,L1,load_profile_11.csv,0.416,2.464,22.251273972602743,8.121715000000002,1015,1
7,2,L2,load_profile_38.csv,0.416,1.26,28.95675890410959,10.569217,1053,1
10,3,L3,load_profile_14.csv,0.416,1.91,28.40810410958904,10.368958,1019,3
11,4,L4,load_profile_3.csv,0.416,0.444,9.96031506849315,3.635515,1002,1
12,5,L5,load_profile_43.csv,0.416,0.52,20.24973150684931,7.391151999999999,1058,1
13,6,L6,load_profile_85.csv,0.416,0.16,12.86940821917808,4.697334,1115,1
21,7,L7,load_profile_23.csv,0.416,0.314,33.849671232876716,12.35513,1031,3
24,8,L8,load_profile_51.csv,0.416,1.426,19.71039726027397,7.194295,1067,1
25,9,L9,load_profile_9.csv,0.416,0.214,11.463043835616437,4.184011,1013,1
29,10,L10,load_profile_42.csv,0.416,2.6,44.473780821917806,16.23293,1057,1
30,11,L11,load_profile_4.csv,0.416,1.198,29.857808219178082,10.898099999999998,1003,1
33,12,L12,load_profile_56.csv,0.416,2.632,28.161268493150686,10.278863,1074,1
34,13,L13,load_profile_59.csv,0.416,0.808,14.947898630136985,5.455982999999999,1077,1
37,14,L14,load_profile_62.csv,0.416,1.32,19.99977808219178,7.299919,1082,1
39,15,L15,load_profile_31.csv,0.416,0.242,27.53248219178082,10.049355999999998,1042,1
40,16,L16,load_profile_37.csv,0.416,2.442,17.418687671232878,6.3578209999999995,1052,1
42,17,L17,load_profile_44.csv,0.416,4.65,41.524142465753414,15.156311999999998,1059,1
45,18,L18,load_profile_10.csv,0.416,2.128,28.00492876712329,10.221799,1014,1
46,19,L19,load_profile_64.csv,0.416,0.756,11.731917808219178,4.28215,1084,1
47,20,L20,load_profile_65.csv,0.416,1.666,24.510284931506853,8.946254000000001,1085,1
49,21,L21,load_profile_81.csv,0.416,1.602,41.908353424657534,15.296548999999999,1108,1
50,22,L22,load_profile_82.csv,0.416,4.83,52.243964383561654,19.069047,1109,1
52,23,L23,load_profile_7.csv,0.416,1.294,21.867098630136987,7.981491,1006,1
54,24,L24,load_profile_66.csv,0.416,0.292,6.118021917808219,2.233078,1086,1
57,25,L25,load_profile_88.csv,0.416,0.582,36.02140547945205,13.147812999999998,1119,1
60,26,L26,load_profile_29.csv,0.416,3.68,36.026895890410955,13.149816999999999,1039,1
62,27,L27,load_profile_16.csv,0.416,0.228,13.743356164383563,5.016325000000001,1021,2
64,28,L28,load_profile_53.csv,0.416,0.662,10.985936986301368,4.009867,1071,1
66,29,L29,load_profile_91.csv,0.416,1.118,19.26176438356164,7.030544,1122,1
67,30,L30,load_profile_92.csv,0.416,0.64,17.165,6.265224999999999,1123,1
72,31,L31,load_profile_97.csv,0.416,0.558,22.966071232876715,8.382616000000002,1132,1
73,32,L32,load_profile_98.csv,0.416,0.502,12.74418904109589,4.651629,1133,1
75,33,L33,load_profile_18.csv,0.416,1.838,17.370205479452054,6.340124999999999,1024,1
76,34,L34,load_profile_99.csv,0.416,0.758,14.11649863013699,5.152522000000001,1136,1
77,35,L35,load_profile_101.csv,0.416,1.612,40.50556164383561,14.784529999999997,1139,1
80,36,L36,load_profile_13.csv,0.416,2.312,45.984947945205484,16.784506,1018,1
81,37,L37,load_profile_102.csv,0.416,2.576,37.160657534246575,13.563640000000001,1140,1
83,38,L38,load_profile_77.csv,0.416,0.1,2.8573397260273974,1.042929,1101,2
87,39,L39,load_profile_45.csv,0.416,2.978,15.856898630136987,5.787768,1060,1
88,40,L40,load_profile_71.csv,0.416,0.196,10.618767123287672,3.8758500000000002,1093,1
93,41,L41,load_profile_105.csv,0.416,2.182,41.816290410958906,15.262946000000001,1143,1
95,42,L42,load_profile_108.csv,0.416,1.166,28.896134246575343,10.547089,1147,1
96,43,L43,load_profile_109.csv,0.416,1.648,18.25721095890411,6.663882,1148,1
97,44,L44,load_profile_47.csv,0.416,3.878,16.90817808219178,6.1714850000000006,1062,1
101,45,L45,load_profile_110.csv,0.416,2.186,18.18441095890411,6.63731,1153,1
102,46,L46,load_profile_112.csv,0.416,2.06,40.2754301369863,14.700532,1155,1
103,47,L47,load_profile_46.csv,0.416,0.936,18.106364383561647,6.608823,1061,1
106,48,L48,load_profile_113.csv,0.416,3.088,28.269780821917813,10.318470000000001,1156,1
107,49,L49,load_profile_24.csv,0.416,0.562,19.475506849315067,7.108560000000001,1032,3
110,50,L50,load_profile_114.csv,0.416,1.466,33.42825205479451,12.201311999999998,1157,1
112,51,L51,load_profile_115.csv,0.416,0.15,37.36858082191782,13.639532,1160,1
113,52,L52,load_profile_39.csv,0.416,0.04,6.118021917808219,2.233078,1054,1
114,53,L53,load_profile_120.csv,0.416,0.852,36.23224657534247,13.224770000000003,1168,1
115,54,L54,load_profile_6.csv,0.416,3.124,30.657353424657536,11.189934000000001,1005,1
116,55,L55,load_profile_27.csv,0.416,1.778,23.336057534246578,8.517661,1036,1
