bus,load_meter_id,load_code,load_name,load_profile_name,load_daily_avg_kWh,load_yearly_avg_MWh,load-ev_init_kW,pv_size,ev_name,ev_profile_name,ev_max_ac_charging_kW,pv_integration_year,ev_integration_year
5,1015,1,L1,load_profile_11.csv,22.25127397,8.121715,2.464,,,,,,
7,1053,1,L2,load_profile_38.csv,28.9567589,10.569217,1.26,,,,,,
10,1019,3,L3,load_profile_14.csv,28.40810411,10.368958,1.91,,,,,,
11,1002,1,L4,load_profile_3.csv,9.960315068,3.635515,0.444,10,,,,6,
12,1058,1,L5,load_profile_43.csv,20.24973151,7.391152,0.52,,,,,,
13,1115,1,L6,load_profile_85.csv,12.86940822,4.697334,0.16,10,,,,5,
21,1031,3,L7,load_profile_23.csv,33.84967123,12.35513,0.314,10,,,,12,
24,1067,1,L8,load_profile_51.csv,19.71039726,7.194295,1.426,,,,,,
25,1013,1,L9,load_profile_9.csv,11.46304384,4.184011,0.214,,EV1,ev_profile_35.csv,11,,11
29,1057,1,L10,load_profile_42.csv,44.47378082,16.23293,2.6,24,,,,2,
30,1003,1,L11,load_profile_4.csv,29.85780822,10.8981,1.198,,EV2,ev_profile_41.csv,11,,3
33,1074,1,L12,load_profile_56.csv,28.16126849,10.278863,2.632,,EV3,ev_profile_2.csv,11,,2
34,1077,1,L13,load_profile_59.csv,14.94789863,5.455983,0.808,,,,,,
37,1082,1,L14,load_profile_62.csv,19.99977808,7.299919,1.32,10,,,,10,
39,1042,1,L15,load_profile_31.csv,27.53248219,10.049356,0.242,24,,,,7,
40,1052,1,L16,load_profile_37.csv,17.41868767,6.357821,2.442,,EV4,ev_profile_42.csv,11,,6
42,1059,1,L17,load_profile_44.csv,41.52414247,15.156312,4.65,,EV5,ev_profile_3.csv,11,,3
45,1014,1,L18,load_profile_10.csv,28.00492877,10.221799,2.128,,EV6,ev_profile_36.csv,22,,7
46,1084,1,L19,load_profile_64.csv,11.73191781,4.28215,0.756,,,,,,
47,1085,1,L20,load_profile_65.csv,24.51028493,8.946254,1.666,10,EV7,ev_profile_43.csv,11,5,4
49,1108,1,L21,load_profile_81.csv,41.90835342,15.296549,1.602,,,,,,
50,1109,1,L22,load_profile_82.csv,52.24396438,19.069047,4.83,,EV8,ev_profile_20.csv,11,,7
52,1006,1,L23,load_profile_7.csv,21.86709863,7.981491,1.294,24,EV9,ev_profile_34.csv,22,1,1
54,1086,1,L24,load_profile_66.csv,6.118021918,2.233078,0.292,,,,,,
57,1119,1,L25,load_profile_88.csv,36.02140548,13.147813,0.582,,EV10,ev_profile_1.csv,22,,9
60,1039,1,L26,load_profile_29.csv,36.02689589,13.149817,3.68,10,EV11,ev_profile_44.csv,11,7,8
62,1021,2,L27,load_profile_16.csv,13.74335616,5.016325,0.228,,EV12,ev_profile_7.csv,11,,7
64,1071,1,L28,load_profile_53.csv,10.98593699,4.009867,0.662,10,,,,10,
66,1122,1,L29,load_profile_91.csv,19.26176438,7.030544,1.118,,EV13,ev_profile_5.csv,22,,2
67,1123,1,L30,load_profile_92.csv,17.165,6.265225,0.64,10,EV14,ev_profile_24.csv,22,3,6
72,1132,1,L31,load_profile_97.csv,22.96607123,8.382616,0.558,,EV15,ev_profile_25.csv,22,,10
73,1133,1,L32,load_profile_98.csv,12.74418904,4.651629,0.502,24,,,,8,
75,1024,1,L33,load_profile_18.csv,17.37020548,6.340125,1.838,10,EV16,ev_profile_31.csv,22,6,11
76,1136,1,L34,load_profile_99.csv,14.11649863,5.152522,0.758,,EV17,ev_profile_37.csv,22,,4
77,1139,1,L35,load_profile_101.csv,40.50556164,14.78453,1.612,,EV18,ev_profile_12.csv,22,,9
80,1018,1,L36,load_profile_13.csv,45.98494795,16.784506,2.312,,EV19,ev_profile_11.csv,22,,10
81,1140,1,L37,load_profile_102.csv,37.16065753,13.56364,2.576,,EV20,ev_profile_8.csv,22,,12
83,1101,2,L38,load_profile_77.csv,2.857339726,1.042929,0.1,,EV21,ev_profile_19.csv,11,,5
87,1060,1,L39,load_profile_45.csv,15.85689863,5.787768,2.978,24,,,,5,
88,1093,1,L40,load_profile_71.csv,10.61876712,3.87585,0.196,10,,,,12,
93,1143,1,L41,load_profile_105.csv,41.81629041,15.262946,2.182,24,,,,9,
95,1147,1,L42,load_profile_108.csv,28.89613425,10.547089,1.166,10,,,,2,
96,1148,1,L43,load_profile_109.csv,18.25721096,6.663882,1.648,10,,,,11,
97,1062,1,L44,load_profile_47.csv,16.90817808,6.171485,3.878,24,,,,9,
101,1153,1,L45,load_profile_110.csv,18.18441096,6.63731,2.186,24,,,,7,
102,1155,1,L46,load_profile_112.csv,40.27543014,14.700532,2.06,10,,,,4,
103,1061,1,L47,load_profile_46.csv,18.10636438,6.608823,0.936,10,,,,10,
106,1156,1,L48,load_profile_113.csv,28.26978082,10.31847,3.088,24,,,,7,
107,1032,3,L49,load_profile_24.csv,19.47550685,7.10856,0.562,,EV22,ev_profile_33.csv,11,,8
110,1157,1,L50,load_profile_114.csv,33.42825205,12.201312,1.466,24,,,,4,
112,1160,1,L51,load_profile_115.csv,37.36858082,13.639532,0.15,,,,,,
113,1054,1,L52,load_profile_39.csv,6.118021918,2.233078,0.04,24,,,,9,
114,1168,1,L53,load_profile_120.csv,36.23224658,13.22477,0.852,10,,,,4,
115,1005,1,L54,load_profile_6.csv,30.65735342,11.189934,3.124,24,,,,9,
116,1036,1,L55,load_profile_27.csv,23.33605753,8.517661,1.778,24,,,,8,
