date,time,charging_power_kW,meter_id
1,1,0,1115
1,2,0,1115
1,3,0,1115
1,4,0,1115
1,5,0,1115
1,6,0,1115
1,7,0,1115
1,8,0,1115
1,9,0,1115
1,10,0,1115
1,11,0,1115
1,12,0,1115
1,13,0,1115
1,14,0,1115
1,15,0,1115
1,16,0,1115
1,17,0,1115
1,18,0,1115
1,19,0,1115
1,20,0,1115
1,21,0,1115
1,22,0,1115
1,23,0,1115
1,24,0,1115
1,25,0,1115
1,26,0,1115
1,27,0,1115
1,28,0,1115
1,29,0,1115
1,30,0,1115
1,31,0,1115
1,32,0,1115
1,33,0,1115
1,34,0,1115
1,35,0,1115
1,36,0,1115
1,37,0,1115
1,38,0,1115
1,39,0,1115
1,40,0,1115
1,41,0,1115
1,42,0,1115
1,43,0,1115
1,44,0,1115
1,45,0,1115
1,46,0,1115
1,47,0,1115
1,48,0,1115
1,49,0,1115
1,50,0,1115
1,51,0,1115
1,52,22,1115
1,53,22,1115
1,54,22,1115
1,55,22,1115
1,56,22,1115
1,57,22,1115
1,58,22,1115
1,59,22,1115
1,60,22,1115
1,61,22,1115
1,62,0,1115
1,63,0,1115
1,64,0,1115
1,65,0,1115
1,66,0,1115
1,67,0,1115
1,68,0,1115
1,69,0,1115
1,70,0,1115
1,71,0,1115
1,72,0,1115
1,73,0,1115
1,74,0,1115
1,75,0,1115
1,76,0,1115
1,77,0,1115
1,78,0,1115
1,79,0,1115
1,80,0,1115
1,81,0,1115
1,82,0,1115
1,83,0,1115
1,84,0,1115
1,85,0,1115
1,86,0,1115
1,87,0,1115
1,88,0,1115
1,89,0,1115
1,90,0,1115
1,91,0,1115
1,92,0,1115
1,93,0,1115
1,94,0,1115
1,95,0,1115
1,96,0,1115
2,1,0,1115
2,2,0,1115
2,3,0,1115
2,4,0,1115
2,5,0,1115
2,6,0,1115
2,7,0,1115
2,8,0,1115
2,9,0,1115
2,10,0,1115
2,11,0,1115
2,12,0,1115
2,13,0,1115
2,14,0,1115
2,15,0,1115
2,16,0,1115
2,17,0,1115
2,18,0,1115
2,19,0,1115
2,20,0,1115
2,21,0,1115
2,22,0,1115
2,23,0,1115
2,24,0,1115
2,25,0,1115
2,26,0,1115
2,27,0,1115
2,28,0,1115
2,29,0,1115
2,30,0,1115
2,31,0,1115
2,32,0,1115
2,33,0,1115
2,34,0,1115
2,35,0,1115
2,36,0,1115
2,37,0,1115
2,38,0,1115
2,39,0,1115
2,40,0,1115
2,41,0,1115
2,42,0,1115
2,43,0,1115
2,44,22,1115
2,45,22,1115
2,46,22,1115
2,47,22,1115
2,48,0,1115
2,49,0,1115
2,50,0,1115
2,51,0,1115
2,52,0,1115
2,53,0,1115
2,54,0,1115
2,55,0,1115
2,56,0,1115
2,57,0,1115
2,58,0,1115
2,59,0,1115
2,60,0,1115
2,61,0,1115
2,62,0,1115
2,63,0,1115
2,64,0,1115
2,65,0,1115
2,66,0,1115
2,67,0,1115
2,68,0,1115
2,69,0,1115
2,70,0,1115
2,71,0,1115
2,72,0,1115
2,73,0,1115
2,74,0,1115
2,75,0,1115
2,76,0,1115
2,77,0,1115
2,78,0,1115
2,79,0,1115
2,80,0,1115
2,81,0,1115
2,82,0,1115
2,83,0,1115
2,84,0,1115
2,85,0,1115
2,86,0,1115
2,87,0,1115
2,88,0,1115
2,89,0,1115
2,90,0,1115
2,91,0,1115
2,92,0,1115
2,93,0,1115
2,94,0,1115
2,95,0,1115
2,96,0,1115
3,1,0,1115
3,2,0,1115
3,3,0,1115
3,4,0,1115
3,5,0,1115
3,6,0,1115
3,7,0,1115
3,8,0,1115
3,9,0,1115
3,10,0,1115
3,11,0,1115
3,12,0,1115
3,13,0,1115
3,14,0,1115
3,15,0,1115
3,16,0,1115
3,17,0,1115
3,18,0,1115
3,19,0,1115
3,20,0,1115
3,21,0,1115
3,22,0,1115
3,23,0,1115
3,24,0,1115
3,25,0,1115
3,26,0,1115
3,27,0,1115
3,28,0,1115
3,29,0,1115
3,30,0,1115
3,31,0,1115
3,32,0,1115
3,33,0,1115
3,34,0,1115
3,35,0,1115
3,36,0,1115
3,37,0,1115
3,38,0,1115
3,39,0,1115
3,40,0,1115
3,41,0,1115
3,42,0,1115
3,43,0,1115
3,44,0,1115
3,45,0,1115
3,46,0,1115
3,47,0,1115
3,48,0,1115
3,49,0,1115
3,50,0,1115
3,51,0,1115
3,52,0,1115
3,53,0,1115
3,54,0,1115
3,55,0,1115
3,56,0,1115
3,57,0,1115
3,58,0,1115
3,59,0,1115
3,60,0,1115
3,61,0,1115
3,62,0,1115
3,63,0,1115
3,64,0,1115
3,65,0,1115
3,66,0,1115
3,67,0,1115
3,68,0,1115
3,69,0,1115
3,70,0,1115
3,71,0,1115
3,72,0,1115
3,73,0,1115
3,74,0,1115
3,75,0,1115
3,76,0,1115
3,77,0,1115
3,78,0,1115
3,79,0,1115
3,80,0,1115
3,81,0,1115
3,82,0,1115
3,83,0,1115
3,84,0,1115
3,85,0,1115
3,86,22,1115
3,87,22,1115
3,88,22,1115
3,89,22,1115
3,90,22,1115
3,91,22,1115
3,92,22,1115
3,93,22,1115
3,94,0,1115
3,95,0,1115
3,96,0,1115
4,1,0,1115
4,2,0,1115
4,3,0,1115
4,4,0,1115
4,5,0,1115
4,6,0,1115
4,7,0,1115
4,8,0,1115
4,9,0,1115
4,10,0,1115
4,11,0,1115
4,12,0,1115
4,13,0,1115
4,14,0,1115
4,15,0,1115
4,16,0,1115
4,17,0,1115
4,18,0,1115
4,19,0,1115
4,20,0,1115
4,21,0,1115
4,22,0,1115
4,23,0,1115
4,24,0,1115
4,25,0,1115
4,26,0,1115
4,27,0,1115
4,28,0,1115
4,29,0,1115
4,30,0,1115
4,31,0,1115
4,32,0,1115
4,33,0,1115
4,34,0,1115
4,35,0,1115
4,36,0,1115
4,37,0,1115
4,38,0,1115
4,39,0,1115
4,40,0,1115
4,41,0,1115
4,42,0,1115
4,43,0,1115
4,44,0,1115
4,45,0,1115
4,46,0,1115
4,47,0,1115
4,48,0,1115
4,49,0,1115
4,50,0,1115
4,51,0,1115
4,52,0,1115
4,53,0,1115
4,54,0,1115
4,55,0,1115
4,56,0,1115
4,57,0,1115
4,58,0,1115
4,59,0,1115
4,60,0,1115
4,61,0,1115
4,62,0,1115
4,63,0,1115
4,64,0,1115
4,65,0,1115
4,66,0,1115
4,67,0,1115
4,68,0,1115
4,69,0,1115
4,70,0,1115
4,71,0,1115
4,72,0,1115
4,73,0,1115
4,74,22,1115
4,75,22,1115
4,76,22,1115
4,77,22,1115
4,78,22,1115
4,79,22,1115
4,80,22,1115
4,81,22,1115
4,82,0,1115
4,83,0,1115
4,84,0,1115
4,85,0,1115
4,86,0,1115
4,87,0,1115
4,88,0,1115
4,89,0,1115
4,90,0,1115
4,91,0,1115
4,92,0,1115
4,93,0,1115
4,94,0,1115
4,95,0,1115
4,96,0,1115
5,1,0,1115
5,2,0,1115
5,3,0,1115
5,4,0,1115
5,5,0,1115
5,6,0,1115
5,7,0,1115
5,8,0,1115
5,9,0,1115
5,10,0,1115
5,11,0,1115
5,12,0,1115
5,13,0,1115
5,14,0,1115
5,15,0,1115
5,16,0,1115
5,17,0,1115
5,18,0,1115
5,19,0,1115
5,20,0,1115
5,21,0,1115
5,22,0,1115
5,23,0,1115
5,24,0,1115
5,25,0,1115
5,26,0,1115
5,27,0,1115
5,28,0,1115
5,29,0,1115
5,30,0,1115
5,31,0,1115
5,32,0,1115
5,33,0,1115
5,34,0,1115
5,35,0,1115
5,36,0,1115
5,37,0,1115
5,38,0,1115
5,39,0,1115
5,40,0,1115
5,41,0,1115
5,42,0,1115
5,43,0,1115
5,44,0,1115
5,45,0,1115
5,46,0,1115
5,47,0,1115
5,48,0,1115
5,49,0,1115
5,50,0,1115
5,51,0,1115
5,52,0,1115
5,53,0,1115
5,54,0,1115
5,55,0,1115
5,56,0,1115
5,57,0,1115
5,58,0,1115
5,59,0,1115
5,60,0,1115
5,61,0,1115
5,62,0,1115
5,63,0,1115
5,64,0,1115
5,65,0,1115
5,66,0,1115
5,67,22,1115
5,68,22,1115
5,69,22,1115
5,70,22,1115
5,71,22,1115
5,72,22,1115
5,73,22,1115
5,74,0,1115
5,75,0,1115
5,76,0,1115
5,77,0,1115
5,78,0,1115
5,79,0,1115
5,80,0,1115
5,81,0,1115
5,82,0,1115
5,83,0,1115
5,84,0,1115
5,85,0,1115
5,86,0,1115
5,87,0,1115
5,88,0,1115
5,89,0,1115
5,90,0,1115
5,91,0,1115
5,92,0,1115
5,93,0,1115
5,94,0,1115
5,95,0,1115
5,96,0,1115
6,1,0,1115
6,2,0,1115
6,3,0,1115
6,4,0,1115
6,5,0,1115
6,6,0,1115
6,7,0,1115
6,8,0,1115
6,9,0,1115
6,10,0,1115
6,11,0,1115
6,12,0,1115
6,13,0,1115
6,14,0,1115
6,15,0,1115
6,16,0,1115
6,17,0,1115
6,18,0,1115
6,19,0,1115
6,20,0,1115
6,21,0,1115
6,22,0,1115
6,23,0,1115
6,24,0,1115
6,25,0,1115
6,26,0,1115
6,27,0,1115
6,28,0,1115
6,29,0,1115
6,30,0,1115
6,31,0,1115
6,32,0,1115
6,33,0,1115
6,34,0,1115
6,35,0,1115
6,36,0,1115
6,37,0,1115
6,38,0,1115
6,39,0,1115
6,40,0,1115
6,41,0,1115
6,42,0,1115
6,43,0,1115
6,44,0,1115
6,45,0,1115
6,46,0,1115
6,47,0,1115
6,48,0,1115
6,49,0,1115
6,50,0,1115
6,51,0,1115
6,52,0,1115
6,53,0,1115
6,54,0,1115
6,55,0,1115
6,56,0,1115
6,57,0,1115
6,58,0,1115
6,59,0,1115
6,60,0,1115
6,61,0,1115
6,62,0,1115
6,63,0,1115
6,64,0,1115
6,65,0,1115
6,66,0,1115
6,67,22,1115
6,68,22,1115
6,69,22,1115
6,70,22,1115
6,71,22,1115
6,72,22,1115
6,73,22,1115
6,74,0,1115
6,75,0,1115
6,76,0,1115
6,77,0,1115
6,78,0,1115
6,79,0,1115
6,80,0,1115
6,81,0,1115
6,82,0,1115
6,83,0,1115
6,84,0,1115
6,85,0,1115
6,86,0,1115
6,87,0,1115
6,88,0,1115
6,89,0,1115
6,90,0,1115
6,91,0,1115
6,92,0,1115
6,93,0,1115
6,94,0,1115
6,95,0,1115
6,96,0,1115
7,1,0,1115
7,2,0,1115
7,3,0,1115
7,4,0,1115
7,5,0,1115
7,6,0,1115
7,7,0,1115
7,8,0,1115
7,9,0,1115
7,10,0,1115
7,11,0,1115
7,12,0,1115
7,13,0,1115
7,14,0,1115
7,15,0,1115
7,16,0,1115
7,17,0,1115
7,18,0,1115
7,19,0,1115
7,20,0,1115
7,21,0,1115
7,22,0,1115
7,23,0,1115
7,24,0,1115
7,25,0,1115
7,26,0,1115
7,27,0,1115
7,28,0,1115
7,29,0,1115
7,30,0,1115
7,31,0,1115
7,32,0,1115
7,33,0,1115
7,34,0,1115
7,35,0,1115
7,36,0,1115
7,37,0,1115
7,38,0,1115
7,39,0,1115
7,40,0,1115
7,41,0,1115
7,42,0,1115
7,43,0,1115
7,44,0,1115
7,45,0,1115
7,46,0,1115
7,47,0,1115
7,48,0,1115
7,49,0,1115
7,50,0,1115
7,51,0,1115
7,52,0,1115
7,53,0,1115
7,54,0,1115
7,55,0,1115
7,56,0,1115
7,57,0,1115
7,58,0,1115
7,59,0,1115
7,60,0,1115
7,61,0,1115
7,62,0,1115
7,63,0,1115
7,64,0,1115
7,65,0,1115
7,66,0,1115
7,67,0,1115
7,68,0,1115
7,69,0,1115
7,70,0,1115
7,71,0,1115
7,72,0,1115
7,73,0,1115
7,74,0,1115
7,75,0,1115
7,76,0,1115
7,77,0,1115
7,78,0,1115
7,79,0,1115
7,80,22,1115
7,81,22,1115
7,82,22,1115
7,83,0,1115
7,84,0,1115
7,85,0,1115
7,86,0,1115
7,87,0,1115
7,88,0,1115
7,89,0,1115
7,90,0,1115
7,91,0,1115
7,92,0,1115
7,93,0,1115
7,94,0,1115
7,95,0,1115
7,96,0,1115
8,1,0,1115
8,2,0,1115
8,3,0,1115
8,4,0,1115
8,5,0,1115
8,6,0,1115
8,7,0,1115
8,8,0,1115
8,9,0,1115
8,10,0,1115
8,11,0,1115
8,12,0,1115
8,13,0,1115
8,14,0,1115
8,15,0,1115
8,16,0,1115
8,17,0,1115
8,18,0,1115
8,19,0,1115
8,20,0,1115
8,21,0,1115
8,22,0,1115
8,23,0,1115
8,24,0,1115
8,25,0,1115
8,26,0,1115
8,27,0,1115
8,28,0,1115
8,29,0,1115
8,30,0,1115
8,31,0,1115
8,32,0,1115
8,33,0,1115
8,34,0,1115
8,35,0,1115
8,36,0,1115
8,37,0,1115
8,38,0,1115
8,39,0,1115
8,40,0,1115
8,41,0,1115
8,42,0,1115
8,43,0,1115
8,44,0,1115
8,45,0,1115
8,46,0,1115
8,47,0,1115
8,48,0,1115
8,49,0,1115
8,50,0,1115
8,51,0,1115
8,52,0,1115
8,53,0,1115
8,54,0,1115
8,55,0,1115
8,56,0,1115
8,57,0,1115
8,58,0,1115
8,59,0,1115
8,60,0,1115
8,61,0,1115
8,62,0,1115
8,63,0,1115
8,64,0,1115
8,65,0,1115
8,66,0,1115
8,67,0,1115
8,68,0,1115
8,69,0,1115
8,70,0,1115
8,71,0,1115
8,72,0,1115
8,73,0,1115
8,74,0,1115
8,75,0,1115
8,76,22,1115
8,77,0,1115
8,78,0,1115
8,79,0,1115
8,80,0,1115
8,81,0,1115
8,82,0,1115
8,83,0,1115
8,84,0,1115
8,85,0,1115
8,86,0,1115
8,87,0,1115
8,88,0,1115
8,89,0,1115
8,90,0,1115
8,91,0,1115
8,92,0,1115
8,93,0,1115
8,94,0,1115
8,95,0,1115
8,96,0,1115
9,1,0,1115
9,2,0,1115
9,3,0,1115
9,4,0,1115
9,5,0,1115
9,6,0,1115
9,7,0,1115
9,8,0,1115
9,9,0,1115
9,10,0,1115
9,11,0,1115
9,12,0,1115
9,13,0,1115
9,14,0,1115
9,15,0,1115
9,16,0,1115
9,17,0,1115
9,18,0,1115
9,19,0,1115
9,20,0,1115
9,21,0,1115
9,22,0,1115
9,23,0,1115
9,24,0,1115
9,25,0,1115
9,26,0,1115
9,27,0,1115
9,28,0,1115
9,29,0,1115
9,30,0,1115
9,31,0,1115
9,32,0,1115
9,33,0,1115
9,34,0,1115
9,35,0,1115
9,36,0,1115
9,37,0,1115
9,38,0,1115
9,39,0,1115
9,40,0,1115
9,41,0,1115
9,42,0,1115
9,43,0,1115
9,44,0,1115
9,45,0,1115
9,46,0,1115
9,47,0,1115
9,48,0,1115
9,49,0,1115
9,50,0,1115
9,51,0,1115
9,52,0,1115
9,53,0,1115
9,54,0,1115
9,55,0,1115
9,56,0,1115
9,57,0,1115
9,58,0,1115
9,59,0,1115
9,60,0,1115
9,61,0,1115
9,62,0,1115
9,63,0,1115
9,64,0,1115
9,65,0,1115
9,66,0,1115
9,67,0,1115
9,68,0,1115
9,69,0,1115
9,70,0,1115
9,71,0,1115
9,72,22,1115
9,73,22,1115
9,74,22,1115
9,75,22,1115
9,76,22,1115
9,77,0,1115
9,78,0,1115
9,79,0,1115
9,80,0,1115
9,81,0,1115
9,82,0,1115
9,83,0,1115
9,84,0,1115
9,85,0,1115
9,86,0,1115
9,87,0,1115
9,88,0,1115
9,89,0,1115
9,90,0,1115
9,91,0,1115
9,92,0,1115
9,93,0,1115
9,94,0,1115
9,95,0,1115
9,96,0,1115
10,1,0,1115
10,2,0,1115
10,3,0,1115
10,4,0,1115
10,5,0,1115
10,6,0,1115
10,7,0,1115
10,8,0,1115
10,9,0,1115
10,10,0,1115
10,11,0,1115
10,12,0,1115
10,13,0,1115
10,14,0,1115
10,15,0,1115
10,16,0,1115
10,17,0,1115
10,18,0,1115
10,19,0,1115
10,20,0,1115
10,21,0,1115
10,22,0,1115
10,23,0,1115
10,24,0,1115
10,25,0,1115
10,26,0,1115
10,27,0,1115
10,28,0,1115
10,29,0,1115
10,30,0,1115
10,31,0,1115
10,32,0,1115
10,33,0,1115
10,34,0,1115
10,35,0,1115
10,36,0,1115
10,37,0,1115
10,38,0,1115
10,39,0,1115
10,40,0,1115
10,41,0,1115
10,42,0,1115
10,43,0,1115
10,44,0,1115
10,45,0,1115
10,46,0,1115
10,47,0,1115
10,48,0,1115
10,49,0,1115
10,50,0,1115
10,51,0,1115
10,52,0,1115
10,53,0,1115
10,54,0,1115
10,55,22,1115
10,56,22,1115
10,57,22,1115
10,58,22,1115
10,59,0,1115
10,60,0,1115
10,61,0,1115
10,62,0,1115
10,63,0,1115
10,64,0,1115
10,65,0,1115
10,66,0,1115
10,67,0,1115
10,68,0,1115
10,69,0,1115
10,70,0,1115
10,71,0,1115
10,72,0,1115
10,73,0,1115
10,74,0,1115
10,75,0,1115
10,76,0,1115
10,77,0,1115
10,78,0,1115
10,79,0,1115
10,80,0,1115
10,81,0,1115
10,82,0,1115
10,83,0,1115
10,84,0,1115
10,85,0,1115
10,86,0,1115
10,87,0,1115
10,88,0,1115
10,89,0,1115
10,90,0,1115
10,91,0,1115
10,92,0,1115
10,93,0,1115
10,94,0,1115
10,95,0,1115
10,96,0,1115
11,1,0,1115
11,2,0,1115
11,3,0,1115
11,4,0,1115
11,5,0,1115
11,6,0,1115
11,7,0,1115
11,8,0,1115
11,9,0,1115
11,10,0,1115
11,11,0,1115
11,12,0,1115
11,13,0,1115
11,14,0,1115
11,15,0,1115
11,16,0,1115
11,17,0,1115
11,18,0,1115
11,19,0,1115
11,20,0,1115
11,21,0,1115
11,22,0,1115
11,23,0,1115
11,24,0,1115
11,25,0,1115
11,26,0,1115
11,27,0,1115
11,28,0,1115
11,29,0,1115
11,30,0,1115
11,31,0,1115
11,32,0,1115
11,33,0,1115
11,34,0,1115
11,35,0,1115
11,36,0,1115
11,37,0,1115
11,38,0,1115
11,39,0,1115
11,40,0,1115
11,41,0,1115
11,42,0,1115
11,43,0,1115
11,44,0,1115
11,45,0,1115
11,46,0,1115
11,47,0,1115
11,48,0,1115
11,49,0,1115
11,50,0,1115
11,51,0,1115
11,52,0,1115
11,53,0,1115
11,54,0,1115
11,55,0,1115
11,56,0,1115
11,57,0,1115
11,58,0,1115
11,59,0,1115
11,60,0,1115
11,61,0,1115
11,62,0,1115
11,63,0,1115
11,64,0,1115
11,65,0,1115
11,66,0,1115
11,67,0,1115
11,68,0,1115
11,69,0,1115
11,70,0,1115
11,71,0,1115
11,72,0,1115
11,73,0,1115
11,74,0,1115
11,75,0,1115
11,76,0,1115
11,77,0,1115
11,78,0,1115
11,79,0,1115
11,80,0,1115
11,81,0,1115
11,82,0,1115
11,83,0,1115
11,84,0,1115
11,85,0,1115
11,86,22,1115
11,87,22,1115
11,88,22,1115
11,89,22,1115
11,90,22,1115
11,91,0,1115
11,92,0,1115
11,93,0,1115
11,94,0,1115
11,95,0,1115
11,96,0,1115
12,1,0,1115
12,2,0,1115
12,3,0,1115
12,4,0,1115
12,5,0,1115
12,6,0,1115
12,7,0,1115
12,8,0,1115
12,9,0,1115
12,10,0,1115
12,11,0,1115
12,12,0,1115
12,13,0,1115
12,14,0,1115
12,15,0,1115
12,16,0,1115
12,17,0,1115
12,18,0,1115
12,19,0,1115
12,20,0,1115
12,21,0,1115
12,22,0,1115
12,23,0,1115
12,24,0,1115
12,25,0,1115
12,26,0,1115
12,27,0,1115
12,28,0,1115
12,29,0,1115
12,30,0,1115
12,31,0,1115
12,32,0,1115
12,33,0,1115
12,34,0,1115
12,35,0,1115
12,36,0,1115
12,37,0,1115
12,38,0,1115
12,39,0,1115
12,40,0,1115
12,41,0,1115
12,42,0,1115
12,43,0,1115
12,44,0,1115
12,45,0,1115
12,46,0,1115
12,47,0,1115
12,48,0,1115
12,49,0,1115
12,50,0,1115
12,51,0,1115
12,52,0,1115
12,53,0,1115
12,54,0,1115
12,55,0,1115
12,56,0,1115
12,57,0,1115
12,58,0,1115
12,59,0,1115
12,60,0,1115
12,61,0,1115
12,62,0,1115
12,63,0,1115
12,64,0,1115
12,65,0,1115
12,66,0,1115
12,67,22,1115
12,68,22,1115
12,69,22,1115
12,70,22,1115
12,71,0,1115
12,72,0,1115
12,73,0,1115
12,74,0,1115
12,75,0,1115
12,76,0,1115
12,77,0,1115
12,78,0,1115
12,79,0,1115
12,80,0,1115
12,81,0,1115
12,82,0,1115
12,83,0,1115
12,84,0,1115
12,85,0,1115
12,86,0,1115
12,87,0,1115
12,88,0,1115
12,89,0,1115
12,90,0,1115
12,91,0,1115
12,92,0,1115
12,93,0,1115
12,94,0,1115
12,95,0,1115
12,96,0,1115
13,1,0,1115
13,2,0,1115
13,3,0,1115
13,4,0,1115
13,5,0,1115
13,6,0,1115
13,7,0,1115
13,8,0,1115
13,9,0,1115
13,10,0,1115
13,11,0,1115
13,12,0,1115
13,13,0,1115
13,14,0,1115
13,15,0,1115
13,16,0,1115
13,17,0,1115
13,18,0,1115
13,19,0,1115
13,20,0,1115
13,21,0,1115
13,22,0,1115
13,23,0,1115
13,24,0,1115
13,25,0,1115
13,26,0,1115
13,27,0,1115
13,28,0,1115
13,29,0,1115
13,30,0,1115
13,31,0,1115
13,32,0,1115
13,33,0,1115
13,34,0,1115
13,35,0,1115
13,36,0,1115
13,37,0,1115
13,38,0,1115
13,39,0,1115
13,40,0,1115
13,41,0,1115
13,42,0,1115
13,43,0,1115
13,44,0,1115
13,45,0,1115
13,46,0,1115
13,47,0,1115
13,48,0,1115
13,49,0,1115
13,50,0,1115
13,51,22,1115
13,52,22,1115
13,53,22,1115
13,54,22,1115
13,55,22,1115
13,56,22,1115
13,57,22,1115
13,58,0,1115
13,59,0,1115
13,60,0,1115
13,61,0,1115
13,62,0,1115
13,63,0,1115
13,64,0,1115
13,65,0,1115
13,66,0,1115
13,67,0,1115
13,68,0,1115
13,69,0,1115
13,70,0,1115
13,71,0,1115
13,72,0,1115
13,73,0,1115
13,74,0,1115
13,75,0,1115
13,76,0,1115
13,77,0,1115
13,78,0,1115
13,79,0,1115
13,80,0,1115
13,81,0,1115
13,82,0,1115
13,83,0,1115
13,84,0,1115
13,85,0,1115
13,86,0,1115
13,87,0,1115
13,88,0,1115
13,89,0,1115
13,90,0,1115
13,91,0,1115
13,92,0,1115
13,93,0,1115
13,94,0,1115
13,95,0,1115
13,96,0,1115
14,1,0,1115
14,2,0,1115
14,3,0,1115
14,4,0,1115
14,5,0,1115
14,6,0,1115
14,7,0,1115
14,8,0,1115
14,9,0,1115
14,10,0,1115
14,11,0,1115
14,12,0,1115
14,13,0,1115
14,14,0,1115
14,15,0,1115
14,16,0,1115
14,17,0,1115
14,18,0,1115
14,19,0,1115
14,20,0,1115
14,21,0,1115
14,22,0,1115
14,23,0,1115
14,24,0,1115
14,25,0,1115
14,26,0,1115
14,27,0,1115
14,28,0,1115
14,29,0,1115
14,30,0,1115
14,31,0,1115
14,32,0,1115
14,33,0,1115
14,34,0,1115
14,35,0,1115
14,36,0,1115
14,37,0,1115
14,38,0,1115
14,39,0,1115
14,40,0,1115
14,41,0,1115
14,42,0,1115
14,43,0,1115
14,44,0,1115
14,45,0,1115
14,46,0,1115
14,47,0,1115
14,48,0,1115
14,49,0,1115
14,50,0,1115
14,51,0,1115
14,52,0,1115
14,53,0,1115
14,54,0,1115
14,55,0,1115
14,56,0,1115
14,57,0,1115
14,58,0,1115
14,59,0,1115
14,60,0,1115
14,61,0,1115
14,62,0,1115
14,63,0,1115
14,64,0,1115
14,65,0,1115
14,66,0,1115
14,67,0,1115
14,68,0,1115
14,69,0,1115
14,70,0,1115
14,71,0,1115
14,72,0,1115
14,73,0,1115
14,74,0,1115
14,75,22,1115
14,76,22,1115
14,77,22,1115
14,78,22,1115
14,79,22,1115
14,80,22,1115
14,81,0,1115
14,82,0,1115
14,83,0,1115
14,84,0,1115
14,85,0,1115
14,86,0,1115
14,87,0,1115
14,88,0,1115
14,89,0,1115
14,90,0,1115
14,91,0,1115
14,92,0,1115
14,93,0,1115
14,94,0,1115
14,95,0,1115
14,96,0,1115
15,1,0,1115
15,2,0,1115
15,3,0,1115
15,4,0,1115
15,5,0,1115
15,6,0,1115
15,7,0,1115
15,8,0,1115
15,9,0,1115
15,10,0,1115
15,11,0,1115
15,12,0,1115
15,13,0,1115
15,14,0,1115
15,15,0,1115
15,16,0,1115
15,17,0,1115
15,18,0,1115
15,19,0,1115
15,20,0,1115
15,21,0,1115
15,22,0,1115
15,23,0,1115
15,24,0,1115
15,25,0,1115
15,26,0,1115
15,27,0,1115
15,28,0,1115
15,29,0,1115
15,30,0,1115
15,31,0,1115
15,32,0,1115
15,33,0,1115
15,34,0,1115
15,35,0,1115
15,36,0,1115
15,37,0,1115
15,38,0,1115
15,39,0,1115
15,40,0,1115
15,41,0,1115
15,42,0,1115
15,43,0,1115
15,44,0,1115
15,45,0,1115
15,46,0,1115
15,47,0,1115
15,48,0,1115
15,49,0,1115
15,50,0,1115
15,51,0,1115
15,52,0,1115
15,53,0,1115
15,54,0,1115
15,55,0,1115
15,56,0,1115
15,57,0,1115
15,58,0,1115
15,59,0,1115
15,60,0,1115
15,61,0,1115
15,62,0,1115
15,63,0,1115
15,64,0,1115
