bus,id,name,profile_name,initial_consumption_kW,max_ac_charging_kW,integration_year
25,1,EV1,ev_profile_35.csv,0,11,11
30,2,EV2,ev_profile_41.csv,0,11,3
33,3,EV3,ev_profile_2.csv,0,11,2
40,4,EV4,ev_profile_42.csv,0,11,6
42,5,EV5,ev_profile_3.csv,0,11,3
45,6,EV6,ev_profile_36.csv,0,22,7
47,7,EV7,ev_profile_43.csv,0,11,4
50,8,EV8,ev_profile_20.csv,0,11,7
52,9,EV9,ev_profile_34.csv,0,22,1
57,10,EV10,ev_profile_1.csv,0,22,9
60,11,EV11,ev_profile_44.csv,0,11,8
62,12,EV12,ev_profile_7.csv,0,11,7
66,13,EV13,ev_profile_5.csv,0,22,2
67,14,EV14,ev_profile_24.csv,0,22,6
72,15,EV15,ev_profile_25.csv,0,22,10
75,16,EV16,ev_profile_31.csv,0,22,11
76,17,EV17,ev_profile_37.csv,0,22,4
77,18,EV18,ev_profile_12.csv,0,22,9
80,19,EV19,ev_profile_11.csv,0,22,10
81,20,EV20,ev_profile_8.csv,0,22,12
83,21,EV21,ev_profile_19.csv,0,11,5
107,22,EV22,ev_profile_33.csv,0,11,8
