meter_id,five_digit_code,consumption_kW,date,time
1036,36601,1.778,1,1
1036,36602,1.778,1,2
1036,36603,1.624,1,3
1036,36604,1.624,1,4
1036,36605,1.366,1,5
1036,36606,1.366,1,6
1036,36607,0.672,1,7
1036,36608,0.672,1,8
1036,36609,0.578,1,9
1036,36610,0.578,1,10
1036,36611,0.584,1,11
1036,36612,0.584,1,12
1036,36613,0.732,1,13
1036,36614,0.732,1,14
1036,36615,0.666,1,15
1036,36616,0.666,1,16
1036,36617,0.574,1,17
1036,36618,0.574,1,18
1036,36619,0.556,1,19
1036,36620,0.556,1,20
1036,36621,0.118,1,21
1036,36622,0.118,1,22
1036,36623,0.088,1,23
1036,36624,0.088,1,24
1036,36625,0.336,1,25
1036,36626,0.336,1,26
1036,36627,0.086,1,27
1036,36628,0.086,1,28
1036,36629,0.086,1,29
1036,36630,0.086,1,30
1036,36631,0.17,1,31
1036,36632,0.17,1,32
1036,36633,0.318,1,33
1036,36634,0.318,1,34
1036,36635,0.32,1,35
1036,36636,0.32,1,36
1036,36637,0.442,1,37
1036,36638,0.442,1,38
1036,36639,0.432,1,39
1036,36640,0.432,1,40
1036,36641,0.034,1,41
1036,36642,0.034,1,42
1036,36643,0.034,1,43
1036,36644,0.034,1,44
1036,36645,0.418,1,45
1036,36646,0.418,1,46
1036,36647,0.052,1,47
1036,36648,0.052,1,48
1036,36649,0.784,1,49
1036,36650,0.784,1,50
1036,36651,0.552,1,51
1036,36652,0.552,1,52
1036,36653,0.37,1,53
1036,36654,0.37,1,54
1036,36655,0.256,1,55
1036,36656,0.256,1,56
1036,36657,0.252,1,57
1036,36658,0.252,1,58
1036,36659,0.368,1,59
1036,36660,0.368,1,60
1036,36661,0.696,1,61
1036,36662,0.696,1,62
1036,36663,0.546,1,63
1036,36664,0.546,1,64
1036,36665,0.798,1,65
1036,36666,0.798,1,66
1036,36667,0.822,1,67
1036,36668,0.822,1,68
1036,36669,1.014,1,69
1036,36670,1.014,1,70
1036,36671,1.704,1,71
1036,36672,1.704,1,72
1036,36673,2.03,1,73
1036,36674,2.03,1,74
1036,36675,2.174,1,75
1036,36676,2.174,1,76
1036,36677,2.134,1,77
1036,36678,2.134,1,78
1036,36679,1.824,1,79
1036,36680,1.824,1,80
1036,36681,1.876,1,81
1036,36682,1.876,1,82
1036,36683,1.804,1,83
1036,36684,1.804,1,84
1036,36685,1.83,1,85
1036,36686,1.83,1,86
1036,36687,1.828,1,87
1036,36688,1.828,1,88
1036,36689,1.936,1,89
1036,36690,1.936,1,90
1036,36691,1.96,1,91
1036,36692,1.96,1,92
1036,36693,1.646,1,93
1036,36694,1.646,1,94
1036,36695,1.002,1,95
1036,36696,1.002,1,96
1036,36701,0.632,2,1
1036,36702,0.632,2,2
1036,36703,0.564,2,3
1036,36704,0.564,2,4
1036,36705,0.72,2,5
1036,36706,0.72,2,6
1036,36707,0.498,2,7
1036,36708,0.498,2,8
1036,36709,0.5,2,9
1036,36710,0.5,2,10
1036,36711,0.386,2,11
1036,36712,0.386,2,12
1036,36713,0.086,2,13
1036,36714,0.086,2,14
1036,36715,0.086,2,15
1036,36716,0.086,2,16
1036,36717,0.154,2,17
1036,36718,0.154,2,18
1036,36719,0.28,2,19
1036,36720,0.28,2,20
1036,36721,0.086,2,21
1036,36722,0.086,2,22
1036,36723,0.086,2,23
1036,36724,0.086,2,24
1036,36725,0.086,2,25
1036,36726,0.086,2,26
1036,36727,0.086,2,27
1036,36728,0.086,2,28
1036,36729,0.084,2,29
1036,36730,0.084,2,30
1036,36731,0.162,2,31
1036,36732,0.162,2,32
1036,36733,0.318,2,33
1036,36734,0.318,2,34
1036,36735,0.362,2,35
1036,36736,0.362,2,36
1036,36737,0.494,2,37
1036,36738,0.494,2,38
1036,36739,0.254,2,39
1036,36740,0.254,2,40
1036,36741,0.032,2,41
1036,36742,0.032,2,42
1036,36743,0.034,2,43
1036,36744,0.034,2,44
1036,36745,0.324,2,45
1036,36746,0.324,2,46
1036,36747,0.342,2,47
1036,36748,0.342,2,48
1036,36749,0.396,2,49
1036,36750,0.396,2,50
1036,36751,0.46,2,51
1036,36752,0.46,2,52
1036,36753,0.278,2,53
1036,36754,0.278,2,54
1036,36755,0.344,2,55
1036,36756,0.344,2,56
1036,36757,0.264,2,57
1036,36758,0.264,2,58
1036,36759,0.268,2,59
1036,36760,0.268,2,60
1036,36761,0.614,2,61
1036,36762,0.614,2,62
1036,36763,1.152,2,63
1036,36764,1.152,2,64
1036,36765,0.902,2,65
1036,36766,0.902,2,66
1036,36767,1.056,2,67
1036,36768,1.056,2,68
1036,36769,1.216,2,69
1036,36770,1.216,2,70
1036,36771,1.47,2,71
1036,36772,1.47,2,72
1036,36773,1.338,2,73
1036,36774,1.338,2,74
1036,36775,1.192,2,75
1036,36776,1.192,2,76
1036,36777,1.552,2,77
1036,36778,1.552,2,78
1036,36779,1.592,2,79
1036,36780,1.592,2,80
1036,36781,1.8,2,81
1036,36782,1.8,2,82
1036,36783,2.008,2,83
1036,36784,2.008,2,84
1036,36785,1.75,2,85
1036,36786,1.75,2,86
1036,36787,1.738,2,87
1036,36788,1.738,2,88
1036,36789,1.756,2,89
1036,36790,1.756,2,90
1036,36791,1.778,2,91
1036,36792,1.778,2,92
1036,36793,2.034,2,93
1036,36794,2.034,2,94
1036,36795,1.65,2,95
1036,36796,1.65,2,96
1036,36801,0.812,3,1
1036,36802,0.812,3,2
1036,36803,0.182,3,3
1036,36804,0.182,3,4
1036,36805,0.076,3,5
1036,36806,0.076,3,6
