date,time,p_w
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.0
1,32,0.0
1,33,3581.52
1,34,3581.52
1,35,3581.52
1,36,3581.52
1,37,2715.6
1,38,2715.6
1,39,2715.6
1,40,2715.6
1,41,2161.2
1,42,2161.2
1,43,2161.2
1,44,2161.2
1,45,3219.12
1,46,3219.12
1,47,3219.12
1,48,3219.12
1,49,2048.16
1,50,2048.16
1,51,2048.16
1,52,2048.16
1,53,1580.88
1,54,1580.88
1,55,1580.88
1,56,1580.88
1,57,949.68
1,58,949.68
1,59,949.68
1,60,949.68
1,61,559.2
1,62,559.2
1,63,559.2
1,64,559.2
1,65,0.0
1,66,0.0
1,67,0.0
1,68,0.0
1,69,0.0
1,70,0.0
1,71,0.0
1,72,0.0
1,73,0.0
1,74,0.0
1,75,0.0
1,76,0.0
1,77,0.0
1,78,0.0
1,79,0.0
1,80,0.0
1,81,0.0
1,82,0.0
1,83,0.0
1,84,0.0
1,85,0.0
1,86,0.0
1,87,0.0
1,88,0.0
1,89,0.0
1,90,0.0
1,91,0.0
1,92,0.0
1,93,0.0
1,94,0.0
1,95,0.0
1,96,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
2,27,0.0
2,28,0.0
2,29,0.0
2,30,0.0
2,31,0.0
2,32,0.0
2,33,3303.12
2,34,3303.12
2,35,3303.12
2,36,3303.12
2,37,6552.0
2,38,6552.0
2,39,6552.0
2,40,6552.0
2,41,5440.08
2,42,5440.08
2,43,5440.08
2,44,5440.08
2,45,1671.84
2,46,1671.84
2,47,1671.84
2,48,1671.84
2,49,16022.88
2,50,16022.88
2,51,16022.88
2,52,16022.88
2,53,6982.08
2,54,6982.08
2,55,6982.08
2,56,6982.08
2,57,8616.96
2,58,8616.96
2,59,8616.96
2,60,8616.96
2,61,2852.16
2,62,2852.16
2,63,2852.16
2,64,2852.16
2,65,0.0
2,66,0.0
2,67,0.0
2,68,0.0
2,69,0.0
2,70,0.0
2,71,0.0
2,72,0.0
2,73,0.0
2,74,0.0
2,75,0.0
2,76,0.0
2,77,0.0
2,78,0.0
2,79,0.0
2,80,0.0
2,81,0.0
2,82,0.0
2,83,0.0
2,84,0.0
2,85,0.0
2,86,0.0
2,87,0.0
2,88,0.0
2,89,0.0
2,90,0.0
2,91,0.0
2,92,0.0
2,93,0.0
2,94,0.0
2,95,0.0
2,96,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,0.0
3,26,0.0
3,27,0.0
3,28,0.0
3,29,0.0
3,30,0.0
3,31,0.0
3,32,0.0
3,33,7120.32
3,34,7120.32
3,35,7120.32
3,36,7120.32
3,37,9223.2
3,38,9223.2
3,39,9223.2
3,40,9223.2
3,41,14744.16
3,42,14744.16
3,43,14744.16
3,44,14744.16
3,45,16133.28
3,46,16133.28
3,47,16133.28
3,48,16133.28
3,49,16714.08
3,50,16714.08
3,51,16714.08
3,52,16714.08
3,53,13950.0
3,54,13950.0
3,55,13950.0
3,56,13950.0
3,57,10122.72
3,58,10122.72
3,59,10122.72
3,60,10122.72
3,61,4709.76
3,62,4709.76
3,63,4709.76
3,64,4709.76
3,65,0.0
3,66,0.0
3,67,0.0
3,68,0.0
3,69,0.0
3,70,0.0
3,71,0.0
3,72,0.0
3,73,0.0
3,74,0.0
3,75,0.0
3,76,0.0
3,77,0.0
3,78,0.0
3,79,0.0
3,80,0.0
3,81,0.0
3,82,0.0
3,83,0.0
3,84,0.0
3,85,0.0
3,86,0.0
3,87,0.0
3,88,0.0
3,89,0.0
3,90,0.0
3,91,0.0
3,92,0.0
3,93,0.0
3,94,0.0
3,95,0.0
3,96,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,0.0
4,26,0.0
4,27,0.0
4,28,0.0
4,29,0.0
4,30,0.0
4,31,0.0
4,32,0.0
4,33,1353.84
4,34,1353.84
4,35,1353.84
4,36,1353.84
4,37,11825.04
4,38,11825.04
4,39,11825.04
4,40,11825.04
4,41,14942.4
4,42,14942.4
4,43,14942.4
4,44,14942.4
4,45,16182.48
4,46,16182.48
4,47,16182.48
4,48,16182.48
4,49,16563.84
4,50,16563.84
4,51,16563.84
4,52,16563.84
4,53,14309.52
4,54,14309.52
4,55,14309.52
4,56,14309.52
4,57,10343.76
4,58,10343.76
4,59,10343.76
4,60,10343.76
4,61,4332.96
4,62,4332.96
4,63,4332.96
4,64,4332.96
4,65,0.0
4,66,0.0
4,67,0.0
4,68,0.0
4,69,0.0
4,70,0.0
4,71,0.0
4,72,0.0
4,73,0.0
4,74,0.0
4,75,0.0
4,76,0.0
4,77,0.0
4,78,0.0
4,79,0.0
4,80,0.0
4,81,0.0
4,82,0.0
4,83,0.0
4,84,0.0
4,85,0.0
4,86,0.0
4,87,0.0
4,88,0.0
4,89,0.0
4,90,0.0
4,91,0.0
4,92,0.0
4,93,0.0
4,94,0.0
4,95,0.0
4,96,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
5,24,0.0
5,25,0.0
5,26,0.0
5,27,0.0
5,28,0.0
5,29,0.0
5,30,0.0
5,31,0.0
5,32,0.0
5,33,7014.72
5,34,7014.72
5,35,7014.72
5,36,7014.72
5,37,3959.04
5,38,3959.04
5,39,3959.04
5,40,3959.04
5,41,2289.36
5,42,2289.36
5,43,2289.36
5,44,2289.36
5,45,3549.12
5,46,3549.12
5,47,3549.12
5,48,3549.12
5,49,1800.96
5,50,1800.96
5,51,1800.96
5,52,1800.96
5,53,2208.96
5,54,2208.96
5,55,2208.96
5,56,2208.96
5,57,2357.28
5,58,2357.28
5,59,2357.28
5,60,2357.28
5,61,305.28
5,62,305.28
5,63,305.28
5,64,305.28
5,65,0.0
5,66,0.0
5,67,0.0
5,68,0.0
5,69,0.0
5,70,0.0
5,71,0.0
5,72,0.0
5,73,0.0
5,74,0.0
5,75,0.0
5,76,0.0
5,77,0.0
5,78,0.0
5,79,0.0
5,80,0.0
5,81,0.0
5,82,0.0
5,83,0.0
5,84,0.0
5,85,0.0
5,86,0.0
5,87,0.0
5,88,0.0
5,89,0.0
5,90,0.0
5,91,0.0
5,92,0.0
5,93,0.0
5,94,0.0
5,95,0.0
5,96,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
6,24,0.0
6,25,0.0
6,26,0.0
6,27,0.0
6,28,0.0
6,29,0.0
6,30,0.0
6,31,0.0
6,32,0.0
6,33,1220.4
6,34,1220.4
6,35,1220.4
6,36,1220.4
6,37,548.16
6,38,548.16
6,39,548.16
6,40,548.16
6,41,1117.2
6,42,1117.2
6,43,1117.2
6,44,1117.2
6,45,2435.76
6,46,2435.76
6,47,2435.76
6,48,2435.76
6,49,1221.84
6,50,1221.84
6,51,1221.84
6,52,1221.84
6,53,335.28
6,54,335.28
6,55,335.28
6,56,335.28
6,57,104.16
6,58,104.16
6,59,104.16
6,60,104.16
6,61,1029.84
6,62,1029.84
6,63,1029.84
6,64,1029.84
6,65,0.0
6,66,0.0
6,67,0.0
6,68,0.0
6,69,0.0
6,70,0.0
6,71,0.0
6,72,0.0
6,73,0.0
6,74,0.0
6,75,0.0
6,76,0.0
6,77,0.0
6,78,0.0
6,79,0.0
6,80,0.0
6,81,0.0
6,82,0.0
6,83,0.0
6,84,0.0
6,85,0.0
6,86,0.0
6,87,0.0
6,88,0.0
6,89,0.0
6,90,0.0
6,91,0.0
6,92,0.0
6,93,0.0
6,94,0.0
6,95,0.0
6,96,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.0
7,20,0.0
7,21,0.0
7,22,0.0
7,23,0.0
7,24,0.0
7,25,0.0
7,26,0.0
7,27,0.0
7,28,0.0
7,29,0.0
7,30,0.0
7,31,0.0
7,32,0.0
7,33,2148.24
7,34,2148.24
7,35,2148.24
7,36,2148.24
7,37,3801.6
7,38,3801.6
7,39,3801.6
7,40,3801.6
7,41,6071.04
7,42,6071.04
7,43,6071.04
7,44,6071.04
7,45,12773.28
7,46,12773.28
7,47,12773.28
7,48,12773.28
7,49,15413.28
7,50,15413.28
7,51,15413.28
7,52,15413.28
7,53,5557.2
7,54,5557.2
7,55,5557.2
7,56,5557.2
7,57,2994.96
7,58,2994.96
7,59,2994.96
7,60,2994.96
7,61,2758.08
7,62,2758.08
7,63,2758.08
7,64,2758.08
7,65,0.0
7,66,0.0
7,67,0.0
7,68,0.0
7,69,0.0
7,70,0.0
7,71,0.0
7,72,0.0
7,73,0.0
7,74,0.0
7,75,0.0
7,76,0.0
7,77,0.0
7,78,0.0
7,79,0.0
7,80,0.0
7,81,0.0
7,82,0.0
7,83,0.0
7,84,0.0
7,85,0.0
7,86,0.0
7,87,0.0
7,88,0.0
7,89,0.0
7,90,0.0
7,91,0.0
7,92,0.0
7,93,0.0
7,94,0.0
7,95,0.0
7,96,0.0
8,1,0.0
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.0
8,7,0.0
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
8,20,0.0
8,21,0.0
8,22,0.0
8,23,0.0
8,24,0.0
8,25,0.0
8,26,0.0
8,27,0.0
8,28,0.0
8,29,0.0
8,30,0.0
8,31,0.0
8,32,0.0
8,33,2165.28
8,34,2165.28
8,35,2165.28
8,36,2165.28
8,37,1479.36
8,38,1479.36
8,39,1479.36
8,40,1479.36
8,41,1350.24
8,42,1350.24
8,43,1350.24
8,44,1350.24
8,45,1033.92
8,46,1033.92
8,47,1033.92
8,48,1033.92
8,49,2576.88
8,50,2576.88
8,51,2576.88
8,52,2576.88
8,53,1228.08
8,54,1228.08
8,55,1228.08
8,56,1228.08
8,57,422.64
8,58,422.64
8,59,422.64
8,60,422.64
8,61,192.48
8,62,192.48
8,63,192.48
8,64,192.48
8,65,0.0
8,66,0.0
8,67,0.0
8,68,0.0
8,69,0.0
8,70,0.0
8,71,0.0
8,72,0.0
8,73,0.0
8,74,0.0
8,75,0.0
8,76,0.0
8,77,0.0
8,78,0.0
8,79,0.0
8,80,0.0
8,81,0.0
8,82,0.0
8,83,0.0
8,84,0.0
8,85,0.0
8,86,0.0
8,87,0.0
8,88,0.0
8,89,0.0
8,90,0.0
8,91,0.0
8,92,0.0
8,93,0.0
8,94,0.0
8,95,0.0
8,96,0.0
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.0
9,7,0.0
9,8,0.0
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
9,20,0.0
9,21,0.0
9,22,0.0
9,23,0.0
9,24,0.0
9,25,0.0
9,26,0.0
9,27,0.0
9,28,0.0
9,29,0.0
9,30,0.0
9,31,0.0
9,32,0.0
9,33,726.0
9,34,726.0
9,35,726.0
9,36,726.0
9,37,3276.72
9,38,3276.72
9,39,3276.72
9,40,3276.72
9,41,1044.72
9,42,1044.72
9,43,1044.72
9,44,1044.72
9,45,6432.72
9,46,6432.72
9,47,6432.72
9,48,6432.72
9,49,945.6
9,50,945.6
9,51,945.6
9,52,945.6
9,53,1853.04
9,54,1853.04
9,55,1853.04
9,56,1853.04
9,57,1786.08
9,58,1786.08
9,59,1786.08
9,60,1786.08
9,61,346.32
9,62,346.32
9,63,346.32
9,64,346.32
9,65,0.0
9,66,0.0
9,67,0.0
9,68,0.0
9,69,0.0
9,70,0.0
9,71,0.0
9,72,0.0
9,73,0.0
9,74,0.0
9,75,0.0
9,76,0.0
9,77,0.0
9,78,0.0
9,79,0.0
9,80,0.0
9,81,0.0
9,82,0.0
9,83,0.0
9,84,0.0
9,85,0.0
9,86,0.0
9,87,0.0
9,88,0.0
9,89,0.0
9,90,0.0
9,91,0.0
9,92,0.0
9,93,0.0
9,94,0.0
9,95,0.0
9,96,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
