bus,id,pv_size,profile_name,load_meter_id,load_code,load_yearly_avg_MWh,initial_generation_kW,integration_year
11,1,10,pv_10kWp.csv,1002,1,3.635515,0,6
13,2,10,pv_10kWp.csv,1115,1,4.697334,0,5
21,3,10,pv_10kWp.csv,1031,3,12.35513,0,12
29,4,24,pv_24kWp.csv,1057,1,16.23293,0,2
37,5,10,pv_10kWp.csv,1082,1,7.299919,0,10
39,6,24,pv_24kWp.csv,1042,1,10.049356,0,7
47,7,10,pv_10kWp.csv,1085,1,8.946254,0,5
52,8,24,pv_24kWp.csv,1006,1,7.981491,0,1
60,9,10,pv_10kWp.csv,1039,1,13.149817,0,7
64,10,10,pv_10kWp.csv,1071,1,4.009867,0,10
67,11,10,pv_10kWp.csv,1123,1,6.265225,0,3
73,12,24,pv_24kWp.csv,1133,1,4.651629,0,8
75,13,10,pv_10kWp.csv,1024,1,6.340125,0,6
87,14,24,pv_24kWp.csv,1060,1,5.787768,0,5
88,15,10,pv_10kWp.csv,1093,1,3.87585,0,12
93,16,24,pv_24kWp.csv,1143,1,15.262946,0,9
95,17,10,pv_10kWp.csv,1147,1,10.547089,0,2
96,18,10,pv_10kWp.csv,1148,1,6.663882,0,11
97,19,24,pv_24kWp.csv,1062,1,6.171485,0,9
101,20,24,pv_24kWp.csv,1153,1,6.63731,0,7
102,21,10,pv_10kWp.csv,1155,1,14.700532,0,4
103,22,10,pv_10kWp.csv,1061,1,6.608823,0,10
106,23,24,pv_24kWp.csv,1156,1,10.31847,0,7
110,24,24,pv_24kWp.csv,1157,1,12.201312,0,4
113,25,24,pv_24kWp.csv,1054,1,2.233078,0,9
114,26,10,pv_10kWp.csv,1168,1,13.22477,0,4
115,27,24,pv_24kWp.csv,1005,1,11.189934,0,9
116,28,24,pv_24kWp.csv,1036,1,8.517661,0,8
